FileName	HRDLOH	TAI	LST	HRDsum	cellularity	ploidy	avg.depth.ratio
TCGA-52-7812-01A-11D-A320.TCGA-52-7812-10A-01D-A320_chr	21	13	11	45	0.56	2	1.005661366
TCGA-EE-A2MN-06A-11D-A18Y.TCGA-EE-A2MN-10A-01D-A190_chr	15	17	13	45	0.8	4.7	0.948018798
TCGA-BS-A0TI-01A-11D-A101.TCGA-BS-A0TI-10A-01D-A101_chr	19	18	15	52	0.73	4.5	1.011408399
TCGA-24-2024-01A-02D-A324.TCGA-24-2024-11A-01D-A324_chr	18	16	25	59	0.91	1.8	1.01793324
TCGA-BR-4267-01A-01D-1128.TCGA-BR-4267-11A-01D-1128_chr	25	19	22	66	0.86	2	0.983452694
TCGA-24-1103-01A-01D-515.TCGA-24-1103-10A-01D-515_chr	18	19	30	67	0.91	3.6	1.002772528
TCGA-FD-A3B5-01A-11D-A210.TCGA-FD-A3B5-10A-01D-A210_chr	24	23	23	70	0.82	5.5	1.00398891
TCGA-BG-A0M8-01A-12D-A101.TCGA-BG-A0M8-10A-01D-A101_chr	31	21	20	72	0.91	5.5	1.066791628
TCGA-23-1118-01A-01D-A312.TCGA-23-1118-10A-01D-A312_chr	16	30	28	74	0.58	5.3	1.001210861
TCGA-BT-A20N-01A-11D-A14U.TCGA-BT-A20N-11A-11D-A14U_chr	32	34	15	81	0.85	5.5	1.012941171
TCGA-73-4662-01A-01D-1203.TCGA-73-4662-11A-01D-1203_chr	43	33	15	91	0.9	5.2	1.095623994
TCGA-BT-A3PH-01A-11D-A221.TCGA-BT-A3PH-10A-01D-A221_chr	57	29	5	91	0.97	2	1.026938672
TCGA-64-5774-01A-01D-1623.TCGA-64-5774-10A-01D-1623_chr	50	35	14	99	0.97	2.2	1.012748344
TCGA-G2-A3VY-01A-11D-A233.TCGA-G2-A3VY-10A-01D-A233_chr	47	35	20	102	0.96	4.3	1.016825005
TCGA-A5-A0GJ-01A-11D-A043.TCGA-A5-A0GJ-10A-01D-A043_chr	52	30	22	104	0.93	2.1	1.03920273
