FileName	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94
TCGA-A5-A0GJ-01A-11D-A043.TCGA-A5-A0GJ-10A-01D-A043_chr	0.78	0.86	0.9	0.234648513	0.95	0.78	0.40	0.37	0.50	0.71	0.11	0.31	0.13	0.46	0.71	0.49	0.53	0.24	0.99	0.58	0.23	0.58	0.57	0.17	0.84	0.80	0.96	0.04	0.38	0.44	0.66	0.08	0.17	0.86	0.62	0.59	0.99	0.71	0.57	0.52	0.08	0.36	1.00	0.47	0.17	0.72	0.56	0.25	0.88	0.48	0.75	0.37	0.72	0.80	0.11	0.15	0.31	0.38	0.06	0.57	0.13	0.80	0.86	0.99	0.97	0.49	0.77	0.48	0.29	0.94	0.43	0.69	0.85	0.31	0.94	0.93	0.23	0.17
TCGA-G2-A3VY-01A-11D-A233.TCGA-G2-A3VY-10A-01D-A233_chr	0.92	0.91	0.85	0.605038172	0.9	0.86	0.01	0.26	0.03	0.76	0.47	0.58	0.57	0.99	0.64	0.87	0.79	0.22	0.80	0.61	0.16	0.48	0.48	0.11	0.47	0.58	0.80	0.47	0.47	0.38	0.30	0.85	0.19	0.10	0.90	0.22	0.95	0.92	0.19	0.74	0.41	0.85	0.85	0.90	0.13	0.28	0.34	0.00	0.10	0.76	0.38	0.14	0.02	0.40	0.34	0.81	0.51	0.28	0.56	0.63	0.06	0.10	0.42	0.55	0.81	0.42	0.72	0.94	0.57	0.46	0.81	0.69	0.56	0.63	0.68	0.44	0.25	0.09
TCGA-64-5774-01A-01D-1623.TCGA-64-5774-10A-01D-1623_chr	0.42	0.18	0.85	0.939280302	0.9	0.60	0.39	0.89	0.90	0.04	0.67	0.70	0.58	0.17	0.41	0.51	0.21	0.23	0.66	0.19	0.77	0.47	0.16	0.60	0.41	0.58	1.00	0.24	0.02	0.32	0.30	0.51	0.18	0.81	0.12	0.11	0.26	0.69	0.73	0.02	0.30	0.92	0.34	0.48	0.19	0.35	0.48	0.90	0.03	0.61	0.77	0.30	0.42	0.62	0.31	0.53	0.12	0.18	0.87	0.33	0.14	0.53	0.18	0.28	0.45	0.38	0.01	0.75	0.59	0.59	0.45	0.99	0.08	0.53	0.83	0.71	0.78	0.10
TCGA-73-4662-01A-01D-1203.TCGA-73-4662-11A-01D-1203_chr	0.32	0.10	0.8	0.543033383	0.85	0.78	0.14	0.26	0.91	0.56	0.04	0.24	0.43	0.94	0.03	0.02	0.21	0.76	0.38	0.42	0.25	0.44	0.13	0.95	0.59	0.61	0.26	0.42	0.62	0.64	0.33	0.48	0.27	0.58	0.65	0.78	0.97	0.37	0.13	0.14	0.05	0.02	0.41	0.94	0.13	0.81	0.84	0.30	0.15	0.01	0.28	0.58	0.08	0.69	0.07	0.57	0.66	0.96	0.30	0.88	0.90	0.38	0.54	0.53	0.57	0.98	0.63	0.80	0.16	0.15	0.79	0.68	0.85	0.18	0.72	0.38	0.11	0.85
TCGA-BT-A3PH-01A-11D-A221.TCGA-BT-A3PH-10A-01D-A221_chr	0.11	0.44	0.75	0.45162211	0.8	0.97	0.19	0.08	0.95	0.62	0.42	0.44	0.08	0.08	0.03	0.09	0.70	0.46	0.74	0.81	0.35	0.13	0.63	0.06	0.97	0.17	0.77	0.49	0.01	0.78	0.68	0.18	0.62	0.88	0.55	0.96	0.78	0.66	0.19	0.64	0.82	0.72	0.68	0.47	0.47	0.47	0.65	0.69	0.70	0.76	0.54	0.65	0.35	0.82	0.76	0.29	0.21	0.92	0.35	0.78	0.34	0.25	0.81	0.92	0.99	0.51	0.56	0.16	0.08	0.98	0.72	0.88	0.24	0.27	0.19	0.42	0.54	0.21
TCGA-BT-A20N-01A-11D-A14U.TCGA-BT-A20N-11A-11D-A14U_chr	0.78	0.83	0.82	0.648301172	0.87	0.53	0.91	0.83	0.25	0.58	0.37	0.17	0.22	0.64	0.77	0.98	0.34	0.69	0.12	0.45	0.82	0.42	0.76	0.50	0.20	0.80	0.81	0.05	0.25	0.72	0.86	0.61	0.09	0.12	0.80	0.98	0.09	0.17	0.53	0.10	0.25	0.79	0.99	0.01	0.07	0.12	0.58	0.80	0.49	0.83	0.35	0.99	0.28	0.95	0.50	0.64	0.22	0.31	0.58	0.48	0.87	0.81	0.38	0.31	0.76	0.36	0.96	0.70	0.01	0.74	0.72	0.11	0.26	0.26	0.10	0.77	0.72	0.21
TCGA-23-1118-01A-01D-A312.TCGA-23-1118-10A-01D-A312_chr	0.52	0.06	0.65	0.296267255	0.7	0.18	0.84	0.79	0.81	0.26	0.99	0.13	0.04	0.76	0.78	0.47	0.35	0.71	0.15	0.70	0.30	0.09	0.39	0.97	0.32	0.00	0.47	0.12	0.12	0.66	0.37	0.46	0.68	0.74	0.46	0.84	0.28	0.34	0.33	0.80	0.82	0.39	0.81	0.16	0.24	0.22	0.57	0.51	0.90	0.27	0.48	0.54	0.51	0.75	0.84	0.36	0.71	0.89	0.46	0.99	0.75	0.35	0.26	0.17	0.06	0.04	0.35	0.11	0.17	0.13	0.50	0.09	0.82	0.72	0.57	0.64	0.36	0.39
TCGA-BG-A0M8-01A-12D-A101.TCGA-BG-A0M8-10A-01D-A101_chr	0.86	0.67	0.8	0.668910935	0.85	0.96	0.18	0.88	0.49	0.52	0.25	0.42	0.60	0.95	0.97	0.10	0.75	0.63	0.51	0.74	0.60	0.79	0.28	0.52	0.02	0.05	0.91	0.42	0.69	0.23	0.41	0.76	0.43	0.17	0.30	0.26	0.66	0.64	0.58	0.99	0.61	0.03	0.38	0.99	0.08	0.65	0.73	0.44	0.47	0.26	0.12	0.28	0.92	0.59	0.03	0.76	0.63	0.54	0.77	0.48	0.26	0.24	0.53	0.41	0.91	0.31	0.21	0.48	0.34	0.85	0.11	0.68	0.75	0.12	0.34	0.66	0.70	0.68
TCGA-FD-A3B5-01A-11D-A210.TCGA-FD-A3B5-10A-01D-A210_chr	0.50	0.38	0.65	0.57301009	0.7	0.65	0.69	0.65	0.18	0.81	0.35	0.89	0.77	0.92	0.33	0.95	0.49	0.21	0.23	0.80	0.30	0.12	0.79	0.36	0.72	0.89	0.44	0.46	0.41	0.70	0.04	0.81	0.65	1.00	0.95	0.08	0.60	0.14	0.53	0.75	0.38	0.29	0.29	0.05	0.19	0.42	0.83	0.56	0.54	0.80	0.74	0.01	0.78	0.76	0.89	0.19	0.31	0.04	0.41	0.03	0.36	0.70	0.19	0.49	0.66	0.55	0.08	0.95	0.22	0.69	0.73	0.63	0.27	0.70	0.94	0.84	0.30	0.22
TCGA-24-1103-01A-01D-515.TCGA-24-1103-10A-01D-515_chr	0.92	0.95	0.5	0.930364835	0.55	0.46	0.03	0.76	0.26	0.52	0.16	0.99	0.87	0.67	0.14	0.07	0.01	0.75	0.57	0.80	0.61	0.04	0.13	0.11	0.45	0.16	0.71	0.39	0.49	0.47	0.35	0.14	0.59	0.40	0.35	0.49	0.19	0.87	0.40	0.65	0.68	0.52	0.98	0.95	0.27	0.40	0.13	0.02	0.21	0.70	0.05	0.77	0.73	0.94	0.14	0.91	0.67	0.86	0.81	0.03	0.87	0.15	0.64	0.57	0.47	0.96	0.96	0.05	0.94	0.12	0.85	0.96	0.91	0.89	0.29	0.50	0.91	0.07
