Gene	Germline_Somatic (high confidence)	Somatic_Somatic (high confidence)	Germline_Germline (putative)	Germline_Somatic (putative)	Somatic_Somatic (putative)	TOTAL
ATM	5	0	2	1	0	8
MLH1	0	0	7	0	0	7
DNMT3B	0	0	1	3	2	6
MDC1	0	0	2	0	4	6
BCLAF1	0	0	0	3	2	5
DICER1	0	1	2	1	1	5
BRCA2	1	0	3	0	0	4
HERC2	2	0	1	1	0	4
INO80	0	0	4	0	0	4
REV3L	2	0	2	0	0	4
SKIV2L	1	0	3	0	0	4
CHD3	3	0	0	0	0	3
PNKP	0	0	1	2	0	3
POLE	0	0	2	0	1	3
POLG	0	0	3	0	0	3
SMG1	0	0	0	2	1	3
ACTR8	2	0	0	0	0	2
ARID1A	0	0	0	0	2	2
ARID1B	0	0	0	0	2	2
ATRX	0	0	1	0	1	2
CBX6	2	0	0	0	0	2
CHD5	0	0	2	0	0	2
DNMT1	0	0	1	0	1	2
EP300	0	0	2	0	0	2
FANCC	2	0	0	0	0	2
KAT6B	0	0	2	0	0	2
MCM7	0	0	2	0	0	2
