Gene	LOH_Event
ATRX	putative_germline_germline
ATM	putative_germline_germline
MCM7	putative_germline_germline
BRCA2	putative_germline_germline
REV3L	putative_germline_germline
POLE	putative_germline_germline
BRCA2	putative_germline_germline
BRCA2	putative_germline_germline
NEIL3	putative_germline_germline
INO80	putative_germline_germline
SKIV2L	putative_germline_germline
FANCM	putative_germline_germline
NFRKB	putative_germline_germline
MLH1	putative_germline_germline
CHD5	putative_germline_germline
DICER1	putative_germline_germline
SRCAP	putative_germline_germline
TOPORS	putative_germline_germline
HERC2	putative_germline_germline
TAF15	putative_germline_germline
NFRKB	putative_germline_germline
PARP1	putative_germline_germline
NSD2	putative_germline_germline
POLG	putative_germline_germline
ATM	putative_germline_germline
KAT6B	putative_germline_germline
RNF168	putative_germline_germline
SKIV2L	putative_germline_germline
MLH1	putative_germline_germline
MLH1	putative_germline_germline
EP300	putative_germline_germline
EP300	putative_germline_germline
CHD5	putative_germline_germline
REV1	putative_germline_germline
USP1	putative_germline_germline
MCM7	putative_germline_germline
REV3L	putative_germline_germline
MLH1	putative_germline_germline
MDC1	putative_germline_germline
EID3	putative_germline_germline
KAT6B	putative_germline_germline
INO80	putative_germline_germline
DNMT3B	putative_germline_germline
NAT10	putative_germline_germline
THOC6	putative_germline_germline
THOC6	putative_germline_germline
TIMELESS	putative_germline_germline
TIMELESS	putative_germline_germline
LIG3	putative_germline_germline
DICER1	putative_germline_germline
POLG	putative_germline_germline
LIG4	putative_germline_germline
MLH1	putative_germline_germline
MLH1	putative_germline_germline
INO80	putative_germline_germline
PNKP	putative_germline_germline
INO80	putative_germline_germline
PARP3	putative_germline_germline
TOP3A	putative_germline_germline
ESPL1	putative_germline_germline
MLH1	putative_germline_germline
PARP3	putative_germline_germline
RNF20	putative_germline_germline
INO80D	putative_germline_germline
POLE	putative_germline_germline
SKIV2L	putative_germline_germline
SLX4	putative_germline_germline
DNA2	putative_germline_germline
NSD3	putative_germline_germline
POLG	putative_germline_germline
MDC1	putative_germline_germline
INO80E	putative_germline_germline
SMG1	putative_somatic_somatic
BCL11A	putative_somatic_somatic
SETX	putative_somatic_somatic
SETX	putative_somatic_somatic
PAXIP1	putative_somatic_somatic
SMARCB1	putative_somatic_somatic
DICER1	putative_somatic_somatic
MDC1	putative_somatic_somatic
MDC1	putative_somatic_somatic
MDC1	putative_somatic_somatic
MDC1	putative_somatic_somatic
SMARCB1	putative_somatic_somatic
ARID1A	putative_somatic_somatic
ARID1A	putative_somatic_somatic
YWHAE	putative_somatic_somatic
YWHAE	putative_somatic_somatic
TP53	putative_somatic_somatic
CHD4	putative_somatic_somatic
DMAP1	putative_somatic_somatic
ARID1B	putative_somatic_somatic
POLE	putative_somatic_somatic
TP53	putative_somatic_somatic
BCLAF1	putative_somatic_somatic
ARID1B	putative_somatic_somatic
TRRAP	putative_somatic_somatic
TP53	putative_somatic_somatic
DNMT3B	putative_somatic_somatic
DNMT3B	putative_somatic_somatic
TP53	putative_somatic_somatic
TP53	putative_somatic_somatic
BCLAF1	putative_somatic_somatic
TP53	putative_somatic_somatic
MCM2	putative_somatic_somatic
SRCAP	putative_somatic_somatic
SMARCD2	putative_somatic_somatic
DNMT1	putative_somatic_somatic
DNMT1	putative_somatic_somatic
TOP2A	putative_somatic_somatic
TP53	putative_somatic_somatic
XPC	putative_somatic_somatic
ATRX	putative_somatic_somatic
TP53	putative_somatic_somatic
TP53	putative_somatic_somatic
MSH6	putative_germline_somatic
XRCC5	putative_germline_somatic
XPC	putative_germline_somatic
RFC4	putative_germline_somatic
RFC4	putative_germline_somatic
BCLAF1	putative_germline_somatic
BCLAF1	putative_germline_somatic
BCLAF1	putative_germline_somatic
WRN	putative_germline_somatic
TOPORS	putative_germline_somatic
ERCC6	putative_germline_somatic
WAPL	putative_germline_somatic
ATM	putative_germline_somatic
SMARCC2	putative_germline_somatic
DICER1	putative_germline_somatic
HERC2	putative_germline_somatic
SMG1	putative_germline_somatic
SMG1	putative_germline_somatic
TP53	putative_germline_somatic
BRIP1	putative_germline_somatic
RECQL5	putative_germline_somatic
SMARCA4	putative_germline_somatic
PNKP	putative_germline_somatic
PNKP	putative_germline_somatic
DNMT3B	putative_germline_somatic
DNMT3B	putative_germline_somatic
DNMT3B	putative_germline_somatic
CHD6	putative_germline_somatic
DCLRE1A	confident_germline_somatic
MSH5	confident_germline_somatic
MSH5	confident_germline_somatic
CHD3	confident_germline_somatic
CHD3	confident_germline_somatic
CHD3	confident_germline_somatic
CHEK2	confident_germline_somatic
CUL5	confident_germline_somatic
HDAC1	confident_germline_somatic
HERC2	confident_germline_somatic
HIRA	confident_germline_somatic
HLTF	confident_germline_somatic
POLL	confident_germline_somatic
TP53	confident_germline_somatic
TP53	confident_germline_somatic
USP28	confident_germline_somatic
WAPL	confident_germline_somatic
ACTR8	confident_germline_somatic
ACTR8	confident_germline_somatic
BRCA1	confident_germline_somatic
BRCA2	confident_germline_somatic
HFM1	confident_germline_somatic
IGHMBP2	confident_germline_somatic
KAT2B	confident_germline_somatic
MMS19	confident_germline_somatic
NAT10	confident_germline_somatic
PHC2	confident_germline_somatic
PLRG1	confident_germline_somatic
POLD1	confident_germline_somatic
PPP4R2	confident_germline_somatic
PPP4R4	confident_germline_somatic
PPP4R4	confident_germline_somatic
RECQL	confident_germline_somatic
REV3L	confident_germline_somatic
REV3L	confident_germline_somatic
RNF40	confident_germline_somatic
RPAIN	confident_germline_somatic
SKIV2L	confident_germline_somatic
SOX4	confident_germline_somatic
SOX4	confident_germline_somatic
SYCP1	confident_germline_somatic
TDP1	confident_germline_somatic
WDR48	confident_germline_somatic
XAB2	confident_germline_somatic
XRCC4	confident_germline_somatic
ATM	confident_germline_somatic
CBX6	confident_germline_somatic
CBX6	confident_germline_somatic
ATM	confident_germline_somatic
ATM	confident_germline_somatic
ATM	confident_germline_somatic
ATM	confident_germline_somatic
UVSSA	confident_germline_somatic
HELQ	confident_germline_somatic
ALKBH1	confident_germline_somatic
PCGF5	confident_germline_somatic
HERC2	confident_germline_somatic
CREBBP	confident_germline_somatic
YEATS4	confident_germline_somatic
STAG1	confident_germline_somatic
FANCC	confident_germline_somatic
FANCC	confident_germline_somatic
TP53	confident_somatic_somatic
DICER1	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
PTEN	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
PTEN	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
TP53	confident_somatic_somatic
